Algorithm,Level,Status,Time (s),Metric Type,Metric Value
A* (Exact Distance),Level 9,SUCCESS,0.0012,Nodes Expanded,3
A* (Exact Distance),Level 9,SUCCESS,0.0012,Solution Length,2
A* (Satisficing),Level 9,Memory,0.0012,Max Stored Nodes,22
A* (Satisficing),Level 9,Branching,0.0012,Avg Branching,4.0
A* (Satisficing),Level 9,Branching,0.0012,Max Branching,6
A* (Satisficing),Level 9,SUCCESS,0.0012,Nodes Expanded,3
A* (Satisficing),Level 9,SUCCESS,0.0012,Solution Length,2
Fast Downward,Level 9,Metrics,0.1375,Nodes Expanded,11
Fast Downward,Level 9,Branching,0.1375,Avg Branching,3.1818181818181817
Fast Downward,Level 9,SUCCESS,0.1375,Solution Length,8
LAMA First,Level 9,Metrics,0.5687,Nodes Expanded,10
LAMA First,Level 9,Branching,0.5687,Avg Branching,3.2
LAMA First,Level 9,SUCCESS,0.5687,Solution Length,8
A* (Manhattan),Level 10,Memory,0.0003,Max Stored Nodes,14
A* (Manhattan),Level 10,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Manhattan),Level 10,Branching,0.0003,Max Branching,4
A* (Manhattan),Level 10,SUCCESS,0.0003,Nodes Expanded,3
A* (Manhattan),Level 10,SUCCESS,0.0003,Solution Length,2
A* (Real Maze),Level 10,Memory,0.0003,Max Stored Nodes,14
A* (Real Maze),Level 10,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Real Maze),Level 10,Branching,0.0003,Max Branching,4
A* (Real Maze),Level 10,SUCCESS,0.0003,Nodes Expanded,3
A* (Real Maze),Level 10,SUCCESS,0.0003,Solution Length,2
A* (New Real Maze),Level 10,Memory,0.0004,Max Stored Nodes,14
A* (New Real Maze),Level 10,Branching,0.0004,Avg Branching,2.6666666666666665
A* (New Real Maze),Level 10,Branching,0.0004,Max Branching,4
A* (New Real Maze),Level 10,SUCCESS,0.0004,Nodes Expanded,3
A* (New Real Maze),Level 10,SUCCESS,0.0004,Solution Length,2
A* (Hungarian),Level 10,Memory,0.0005,Max Stored Nodes,14
A* (Hungarian),Level 10,Branching,0.0005,Avg Branching,2.6666666666666665
A* (Hungarian),Level 10,Branching,0.0005,Max Branching,4
A* (Hungarian),Level 10,SUCCESS,0.0005,Nodes Expanded,3
A* (Hungarian),Level 10,SUCCESS,0.0005,Solution Length,2
A* (Fast Distance),Level 10,Memory,0.0003,Max Stored Nodes,14
A* (Fast Distance),Level 10,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Fast Distance),Level 10,Branching,0.0003,Max Branching,4
A* (Fast Distance),Level 10,SUCCESS,0.0003,Nodes Expanded,3
A* (Fast Distance),Level 10,SUCCESS,0.0003,Solution Length,2
A* (Exact Distance),Level 10,Memory,0.0004,Max Stored Nodes,14
A* (Exact Distance),Level 10,Branching,0.0004,Avg Branching,2.6666666666666665
A* (Exact Distance),Level 10,Branching,0.0004,Max Branching,4
A* (Exact Distance),Level 10,SUCCESS,0.0004,Nodes Expanded,3
A* (Exact Distance),Level 10,SUCCESS,0.0004,Solution Length,2
A* (Satisficing),Level 10,Memory,0.0003,Max Stored Nodes,14
A* (Satisficing),Level 10,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Satisficing),Level 10,Branching,0.0003,Max Branching,4
A* (Satisficing),Level 10,SUCCESS,0.0003,Nodes Expanded,3
A* (Satisficing),Level 10,SUCCESS,0.0003,Solution Length,2
Fast Downward,Level 10,Metrics,0.1180,Nodes Expanded,8
Fast Downward,Level 10,Branching,0.1180,Avg Branching,3.125
Fast Downward,Level 10,SUCCESS,0.1180,Solution Length,6
LAMA First,Level 10,Metrics,0.5657,Nodes Expanded,7
LAMA First,Level 10,Branching,0.5657,Avg Branching,3.142857142857143
LAMA First,Level 10,SUCCESS,0.5657,Solution Length,6
A* (Manhattan),Level 11,Memory,0.0008,Max Stored Nodes,26
A* (Manhattan),Level 11,Branching,0.0008,Avg Branching,3.6
A* (Manhattan),Level 11,Branching,0.0008,Max Branching,5
A* (Manhattan),Level 11,SUCCESS,0.0008,Nodes Expanded,5
A* (Manhattan),Level 11,SUCCESS,0.0008,Solution Length,4
A* (Real Maze),Level 11,Memory,0.0007,Max Stored Nodes,26
A* (Real Maze),Level 11,Branching,0.0007,Avg Branching,3.6
A* (Real Maze),Level 11,Branching,0.0007,Max Branching,5
A* (Real Maze),Level 11,SUCCESS,0.0007,Nodes Expanded,5
A* (Real Maze),Level 11,SUCCESS,0.0007,Solution Length,4
A* (New Real Maze),Level 11,Memory,0.0007,Max Stored Nodes,26
A* (New Real Maze),Level 11,Branching,0.0007,Avg Branching,3.6
A* (New Real Maze),Level 11,Branching,0.0007,Max Branching,5
A* (New Real Maze),Level 11,SUCCESS,0.0007,Nodes Expanded,5
A* (New Real Maze),Level 11,SUCCESS,0.0007,Solution Length,4
A* (Hungarian),Level 11,Memory,0.0008,Max Stored Nodes,26
A* (Hungarian),Level 11,Branching,0.0008,Avg Branching,3.6
A* (Hungarian),Level 11,Branching,0.0008,Max Branching,5
A* (Hungarian),Level 11,SUCCESS,0.0008,Nodes Expanded,5
A* (Hungarian),Level 11,SUCCESS,0.0008,Solution Length,4
A* (Fast Distance),Level 11,Memory,0.0006,Max Stored Nodes,26
A* (Fast Distance),Level 11,Branching,0.0006,Avg Branching,3.6
A* (Fast Distance),Level 11,Branching,0.0006,Max Branching,5
A* (Fast Distance),Level 11,SUCCESS,0.0006,Nodes Expanded,5
A* (Fast Distance),Level 11,SUCCESS,0.0006,Solution Length,4
A* (Exact Distance),Level 11,Memory,0.0006,Max Stored Nodes,26
A* (Exact Distance),Level 11,Branching,0.0006,Avg Branching,3.6
A* (Exact Distance),Level 11,Branching,0.0006,Max Branching,5
A* (Exact Distance),Level 11,SUCCESS,0.0006,Nodes Expanded,5
A* (Exact Distance),Level 11,SUCCESS,0.0006,Solution Length,4
A* (Satisficing),Level 11,Memory,0.0006,Max Stored Nodes,26
A* (Satisficing),Level 11,Branching,0.0006,Avg Branching,3.6
A* (Satisficing),Level 11,Branching,0.0006,Max Branching,5
A* (Satisficing),Level 11,SUCCESS,0.0006,Nodes Expanded,5
A* (Satisficing),Level 11,SUCCESS,0.0006,Solution Length,4
Fast Downward,Level 11,Metrics,0.1426,Nodes Expanded,46
Fast Downward,Level 11,Branching,0.1426,Avg Branching,3.4782608695652173
Fast Downward,Level 11,SUCCESS,0.1426,Solution Length,16
LAMA First,Level 11,Metrics,0.5673,Nodes Expanded,147
LAMA First,Level 11,Branching,0.5673,Avg Branching,3.510204081632653
LAMA First,Level 11,SUCCESS,0.5673,Solution Length,16
A* (Manhattan),Level 12,Memory,0.0008,Max Stored Nodes,26
A* (Manhattan),Level 12,Branching,0.0008,Avg Branching,3.6
A* (Manhattan),Level 12,Branching,0.0008,Max Branching,6
A* (Manhattan),Level 12,SUCCESS,0.0008,Nodes Expanded,5
A* (Manhattan),Level 12,SUCCESS,0.0008,Solution Length,3
A* (Real Maze),Level 12,Memory,0.0008,Max Stored Nodes,26
A* (Real Maze),Level 12,Branching,0.0008,Avg Branching,3.6
A* (Real Maze),Level 12,Branching,0.0008,Max Branching,6
A* (Real Maze),Level 12,SUCCESS,0.0008,Nodes Expanded,5
A* (Real Maze),Level 12,SUCCESS,0.0008,Solution Length,3
A* (New Real Maze),Level 12,Memory,0.0011,Max Stored Nodes,26
A* (New Real Maze),Level 12,Branching,0.0011,Avg Branching,3.6
A* (New Real Maze),Level 12,Branching,0.0011,Max Branching,6
A* (New Real Maze),Level 12,SUCCESS,0.0011,Nodes Expanded,5
A* (New Real Maze),Level 12,SUCCESS,0.0011,Solution Length,3
A* (Hungarian),Level 12,Memory,0.0011,Max Stored Nodes,26
A* (Hungarian),Level 12,Branching,0.0011,Avg Branching,3.6
A* (Hungarian),Level 12,Branching,0.0011,Max Branching,6
A* (Hungarian),Level 12,SUCCESS,0.0011,Nodes Expanded,5
A* (Hungarian),Level 12,SUCCESS,0.0011,Solution Length,3
A* (Fast Distance),Level 12,Memory,0.0008,Max Stored Nodes,26
A* (Fast Distance),Level 12,Branching,0.0008,Avg Branching,3.6
A* (Fast Distance),Level 12,Branching,0.0008,Max Branching,6
A* (Fast Distance),Level 12,SUCCESS,0.0008,Nodes Expanded,5
A* (Fast Distance),Level 12,SUCCESS,0.0008,Solution Length,3
A* (Exact Distance),Level 12,Memory,0.0012,Max Stored Nodes,26
A* (Exact Distance),Level 12,Branching,0.0012,Avg Branching,3.6
A* (Exact Distance),Level 12,Branching,0.0012,Max Branching,6
A* (Exact Distance),Level 12,SUCCESS,0.0012,Nodes Expanded,5
A* (Exact Distance),Level 12,SUCCESS,0.0012,Solution Length,3
A* (Satisficing),Level 12,Memory,0.0010,Max Stored Nodes,26
A* (Satisficing),Level 12,Branching,0.0010,Avg Branching,3.6
A* (Satisficing),Level 12,Branching,0.0010,Max Branching,6
A* (Satisficing),Level 12,SUCCESS,0.0010,Nodes Expanded,5
A* (Satisficing),Level 12,SUCCESS,0.0010,Solution Length,3
Fast Downward,Level 12,Metrics,0.1943,Nodes Expanded,4140
Fast Downward,Level 12,Branching,0.1943,Avg Branching,3.1246376811594203
Fast Downward,Level 12,FAILED,0.1943,Solution Length,0
LAMA First,Level 12,Metrics,0.6233,Nodes Expanded,4140
LAMA First,Level 12,Branching,0.6233,Avg Branching,3.1246376811594203
LAMA First,Level 12,FAILED,0.6233,Solution Length,0
A* (Manhattan),Level 13,Memory,0.0015,Max Stored Nodes,26
A* (Manhattan),Level 13,Branching,0.0015,Avg Branching,2.3157894736842106
A* (Manhattan),Level 13,Branching,0.0015,Max Branching,5
A* (Manhattan),Level 13,FAILED,0.0015,Nodes Expanded,19
A* (Real Maze),Level 13,Memory,0.0014,Max Stored Nodes,26
A* (Real Maze),Level 13,Branching,0.0014,Avg Branching,2.3157894736842106
A* (Real Maze),Level 13,Branching,0.0014,Max Branching,5
A* (Real Maze),Level 13,FAILED,0.0014,Nodes Expanded,19
A* (New Real Maze),Level 13,Memory,0.0010,Max Stored Nodes,26
A* (New Real Maze),Level 13,Branching,0.0010,Avg Branching,2.3157894736842106
A* (New Real Maze),Level 13,Branching,0.0010,Max Branching,5
A* (New Real Maze),Level 13,FAILED,0.0010,Nodes Expanded,19
A* (Hungarian),Level 13,Memory,0.0009,Max Stored Nodes,26
A* (Hungarian),Level 13,Branching,0.0009,Avg Branching,2.3157894736842106
A* (Hungarian),Level 13,Branching,0.0009,Max Branching,5
A* (Hungarian),Level 13,FAILED,0.0009,Nodes Expanded,19
A* (Fast Distance),Level 13,Memory,0.0007,Max Stored Nodes,26
A* (Fast Distance),Level 13,Branching,0.0007,Avg Branching,2.3157894736842106
A* (Fast Distance),Level 13,Branching,0.0007,Max Branching,5
A* (Fast Distance),Level 13,FAILED,0.0007,Nodes Expanded,19
A* (Exact Distance),Level 13,Memory,0.0020,Max Stored Nodes,26
A* (Exact Distance),Level 13,Branching,0.0020,Avg Branching,2.3157894736842106
A* (Exact Distance),Level 13,Branching,0.0020,Max Branching,5
A* (Exact Distance),Level 13,FAILED,0.0020,Nodes Expanded,19
A* (Satisficing),Level 13,Memory,0.0021,Max Stored Nodes,26
A* (Satisficing),Level 13,Branching,0.0021,Avg Branching,2.3157894736842106
A* (Satisficing),Level 13,Branching,0.0021,Max Branching,5
A* (Satisficing),Level 13,FAILED,0.0021,Nodes Expanded,19
Fast Downward,Level 13,Metrics,0.1446,Nodes Expanded,1610
Fast Downward,Level 13,Branching,0.1446,Avg Branching,2.5043478260869567
Fast Downward,Level 13,FAILED,0.1446,Solution Length,0
LAMA First,Level 13,Metrics,0.6007,Nodes Expanded,1610
LAMA First,Level 13,Branching,0.6007,Avg Branching,2.5043478260869567
LAMA First,Level 13,FAILED,0.6007,Solution Length,0
A* (Manhattan),Level 14,Memory,0.0004,Max Stored Nodes,14
A* (Manhattan),Level 14,Branching,0.0004,Avg Branching,2.6666666666666665
A* (Manhattan),Level 14,Branching,0.0004,Max Branching,4
A* (Manhattan),Level 14,SUCCESS,0.0004,Nodes Expanded,3
A* (Manhattan),Level 14,SUCCESS,0.0004,Solution Length,2
A* (Real Maze),Level 14,Memory,0.0003,Max Stored Nodes,14
A* (Real Maze),Level 14,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Real Maze),Level 14,Branching,0.0003,Max Branching,4
A* (Real Maze),Level 14,SUCCESS,0.0003,Nodes Expanded,3
A* (Real Maze),Level 14,SUCCESS,0.0003,Solution Length,2
A* (New Real Maze),Level 14,Memory,0.0003,Max Stored Nodes,14
A* (New Real Maze),Level 14,Branching,0.0003,Avg Branching,2.6666666666666665
A* (New Real Maze),Level 14,Branching,0.0003,Max Branching,4
A* (New Real Maze),Level 14,SUCCESS,0.0003,Nodes Expanded,3
A* (New Real Maze),Level 14,SUCCESS,0.0003,Solution Length,2
A* (Hungarian),Level 14,Memory,0.0005,Max Stored Nodes,14
A* (Hungarian),Level 14,Branching,0.0005,Avg Branching,2.6666666666666665
A* (Hungarian),Level 14,Branching,0.0005,Max Branching,4
A* (Hungarian),Level 14,SUCCESS,0.0005,Nodes Expanded,3
A* (Hungarian),Level 14,SUCCESS,0.0005,Solution Length,2
A* (Fast Distance),Level 14,Memory,0.0003,Max Stored Nodes,14
A* (Fast Distance),Level 14,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Fast Distance),Level 14,Branching,0.0003,Max Branching,4
A* (Fast Distance),Level 14,SUCCESS,0.0003,Nodes Expanded,3
A* (Fast Distance),Level 14,SUCCESS,0.0003,Solution Length,2
A* (Exact Distance),Level 14,Memory,0.0003,Max Stored Nodes,14
A* (Exact Distance),Level 14,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Exact Distance),Level 14,Branching,0.0003,Max Branching,4
A* (Exact Distance),Level 14,SUCCESS,0.0003,Nodes Expanded,3
A* (Exact Distance),Level 14,SUCCESS,0.0003,Solution Length,2
A* (Satisficing),Level 14,Memory,0.0003,Max Stored Nodes,14
A* (Satisficing),Level 14,Branching,0.0003,Avg Branching,2.6666666666666665
A* (Satisficing),Level 14,Branching,0.0003,Max Branching,4
A* (Satisficing),Level 14,SUCCESS,0.0003,Nodes Expanded,3
A* (Satisficing),Level 14,SUCCESS,0.0003,Solution Length,2
Fast Downward,Level 14,Metrics,0.1425,Nodes Expanded,9
Fast Downward,Level 14,Branching,0.1425,Avg Branching,3.111111111111111
Fast Downward,Level 14,SUCCESS,0.1425,Solution Length,6
LAMA First,Level 14,Metrics,0.5538,Nodes Expanded,8
LAMA First,Level 14,Branching,0.5538,Avg Branching,3.125
LAMA First,Level 14,SUCCESS,0.5538,Solution Length,6
A* (Manhattan),Level 15,Memory,0.0009,Max Stored Nodes,29
A* (Manhattan),Level 15,Branching,0.0009,Avg Branching,3.5
A* (Manhattan),Level 15,Branching,0.0009,Max Branching,6
A* (Manhattan),Level 15,SUCCESS,0.0009,Nodes Expanded,8
A* (Manhattan),Level 15,SUCCESS,0.0009,Solution Length,5
A* (Real Maze),Level 15,Memory,0.0009,Max Stored Nodes,29
A* (Real Maze),Level 15,Branching,0.0009,Avg Branching,3.5
A* (Real Maze),Level 15,Branching,0.0009,Max Branching,6
A* (Real Maze),Level 15,SUCCESS,0.0009,Nodes Expanded,8
A* (Real Maze),Level 15,SUCCESS,0.0009,Solution Length,5
A* (New Real Maze),Level 15,Memory,0.0009,Max Stored Nodes,27
A* (New Real Maze),Level 15,Branching,0.0009,Avg Branching,3.0
A* (New Real Maze),Level 15,Branching,0.0009,Max Branching,5
A* (New Real Maze),Level 15,SUCCESS,0.0009,Nodes Expanded,6
A* (New Real Maze),Level 15,SUCCESS,0.0009,Solution Length,5
A* (Hungarian),Level 15,Memory,0.0009,Max Stored Nodes,27
A* (Hungarian),Level 15,Branching,0.0009,Avg Branching,3.0
A* (Hungarian),Level 15,Branching,0.0009,Max Branching,5
A* (Hungarian),Level 15,SUCCESS,0.0009,Nodes Expanded,6
A* (Hungarian),Level 15,SUCCESS,0.0009,Solution Length,5
A* (Fast Distance),Level 15,Memory,0.0010,Max Stored Nodes,29
A* (Fast Distance),Level 15,Branching,0.0010,Avg Branching,3.5
A* (Fast Distance),Level 15,Branching,0.0010,Max Branching,6
A* (Fast Distance),Level 15,SUCCESS,0.0010,Nodes Expanded,8
A* (Fast Distance),Level 15,SUCCESS,0.0010,Solution Length,5
A* (Exact Distance),Level 15,Memory,0.0008,Max Stored Nodes,27
A* (Exact Distance),Level 15,Branching,0.0008,Avg Branching,3.0
A* (Exact Distance),Level 15,Branching,0.0008,Max Branching,5
A* (Exact Distance),Level 15,SUCCESS,0.0008,Nodes Expanded,6
A* (Exact Distance),Level 15,SUCCESS,0.0008,Solution Length,5
A* (Satisficing),Level 15,Memory,0.0008,Max Stored Nodes,27
A* (Satisficing),Level 15,Branching,0.0008,Avg Branching,3.0
A* (Satisficing),Level 15,Branching,0.0008,Max Branching,5
A* (Satisficing),Level 15,SUCCESS,0.0008,Nodes Expanded,6
A* (Satisficing),Level 15,SUCCESS,0.0008,Solution Length,5
Fast Downward,Level 15,Metrics,0.1680,Nodes Expanded,261
Fast Downward,Level 15,Branching,0.1680,Avg Branching,3.3295019157088124
Fast Downward,Level 15,SUCCESS,0.1680,Solution Length,12
LAMA First,Level 15,Metrics,0.5762,Nodes Expanded,267
LAMA First,Level 15,Branching,0.5762,Avg Branching,3.3146067415730336
LAMA First,Level 15,SUCCESS,0.5762,Solution Length,12
A* (Manhattan),Level 16,Memory,0.0100,Max Stored Nodes,73
A* (Manhattan),Level 16,Branching,0.0100,Avg Branching,4.642857142857143
A* (Manhattan),Level 16,Branching,0.0100,Max Branching,8
A* (Manhattan),Level 16,FAILED,0.0100,Nodes Expanded,56
A* (Real Maze),Level 16,Memory,0.0204,Max Stored Nodes,73
A* (Real Maze),Level 16,Branching,0.0204,Avg Branching,4.642857142857143
A* (Real Maze),Level 16,Branching,0.0204,Max Branching,8
A* (Real Maze),Level 16,FAILED,0.0204,Nodes Expanded,56
A* (New Real Maze),Level 16,Memory,0.0008,Max Stored Nodes,2
A* (New Real Maze),Level 16,Branching,0.0008,Avg Branching,5.0
A* (New Real Maze),Level 16,Branching,0.0008,Max Branching,5
A* (New Real Maze),Level 16,FAILED,0.0008,Nodes Expanded,1
A* (Hungarian),Level 16,Memory,0.0211,Max Stored Nodes,80
A* (Hungarian),Level 16,Branching,0.0211,Avg Branching,4.642857142857143
A* (Hungarian),Level 16,Branching,0.0211,Max Branching,8
A* (Hungarian),Level 16,FAILED,0.0211,Nodes Expanded,56
A* (Fast Distance),Level 16,Memory,0.0124,Max Stored Nodes,73
A* (Fast Distance),Level 16,Branching,0.0124,Avg Branching,4.642857142857143
A* (Fast Distance),Level 16,Branching,0.0124,Max Branching,8
A* (Fast Distance),Level 16,FAILED,0.0124,Nodes Expanded,56
A* (Exact Distance),Level 16,Memory,0.0003,Max Stored Nodes,2
A* (Exact Distance),Level 16,Branching,0.0003,Avg Branching,5.0
A* (Exact Distance),Level 16,Branching,0.0003,Max Branching,5
A* (Exact Distance),Level 16,FAILED,0.0003,Nodes Expanded,1
A* (Satisficing),Level 16,Memory,0.0003,Max Stored Nodes,2
A* (Satisficing),Level 16,Branching,0.0003,Avg Branching,5.0
A* (Satisficing),Level 16,Branching,0.0003,Max Branching,5
A* (Satisficing),Level 16,FAILED,0.0003,Nodes Expanded,1
Fast Downward,Level 16,Metrics,0.1557,Nodes Expanded,6023
Fast Downward,Level 16,Branching,0.1557,Avg Branching,3.256848746471858
Fast Downward,Level 16,SUCCESS,0.1557,Solution Length,26
LAMA First,Level 16,Metrics,0.6016,Nodes Expanded,5218
LAMA First,Level 16,Branching,0.6016,Avg Branching,3.2487543119969335
LAMA First,Level 16,SUCCESS,0.6016,Solution Length,33
A* (Manhattan),Level 17,Memory,0.0010,Max Stored Nodes,50
A* (Manhattan),Level 17,Branching,0.0010,Avg Branching,5.6
A* (Manhattan),Level 17,Branching,0.0010,Max Branching,8
A* (Manhattan),Level 17,SUCCESS,0.0010,Nodes Expanded,5
A* (Manhattan),Level 17,SUCCESS,0.0010,Solution Length,4
A* (Real Maze),Level 17,Memory,0.0011,Max Stored Nodes,50
A* (Real Maze),Level 17,Branching,0.0011,Avg Branching,5.6
A* (Real Maze),Level 17,Branching,0.0011,Max Branching,8
A* (Real Maze),Level 17,SUCCESS,0.0011,Nodes Expanded,5
A* (Real Maze),Level 17,SUCCESS,0.0011,Solution Length,4
A* (New Real Maze),Level 17,Memory,0.0011,Max Stored Nodes,50
A* (New Real Maze),Level 17,Branching,0.0011,Avg Branching,5.6
A* (New Real Maze),Level 17,Branching,0.0011,Max Branching,8
A* (New Real Maze),Level 17,SUCCESS,0.0011,Nodes Expanded,5
A* (New Real Maze),Level 17,SUCCESS,0.0011,Solution Length,4
A* (Hungarian),Level 17,Memory,0.0012,Max Stored Nodes,50
A* (Hungarian),Level 17,Branching,0.0012,Avg Branching,5.6
A* (Hungarian),Level 17,Branching,0.0012,Max Branching,8
A* (Hungarian),Level 17,SUCCESS,0.0012,Nodes Expanded,5
A* (Hungarian),Level 17,SUCCESS,0.0012,Solution Length,4
A* (Fast Distance),Level 17,Memory,0.0011,Max Stored Nodes,50
A* (Fast Distance),Level 17,Branching,0.0011,Avg Branching,5.6
A* (Fast Distance),Level 17,Branching,0.0011,Max Branching,8
A* (Fast Distance),Level 17,SUCCESS,0.0011,Nodes Expanded,5
A* (Fast Distance),Level 17,SUCCESS,0.0011,Solution Length,4
A* (Exact Distance),Level 17,Memory,0.0013,Max Stored Nodes,50
A* (Exact Distance),Level 17,Branching,0.0013,Avg Branching,5.6
A* (Exact Distance),Level 17,Branching,0.0013,Max Branching,8
A* (Exact Distance),Level 17,SUCCESS,0.0013,Nodes Expanded,5
A* (Exact Distance),Level 17,SUCCESS,0.0013,Solution Length,4
A* (Satisficing),Level 17,Memory,0.0019,Max Stored Nodes,50
A* (Satisficing),Level 17,Branching,0.0019,Avg Branching,5.6
A* (Satisficing),Level 17,Branching,0.0019,Max Branching,8
A* (Satisficing),Level 17,SUCCESS,0.0019,Nodes Expanded,5
A* (Satisficing),Level 17,SUCCESS,0.0019,Solution Length,4
Fast Downward,Level 17,Metrics,0.1541,Nodes Expanded,27
Fast Downward,Level 17,Branching,0.1541,Avg Branching,3.6666666666666665
Fast Downward,Level 17,SUCCESS,0.1541,Solution Length,17
LAMA First,Level 17,Metrics,0.5520,Nodes Expanded,24
LAMA First,Level 17,Branching,0.5520,Avg Branching,3.5833333333333335
LAMA First,Level 17,SUCCESS,0.5520,Solution Length,17
A* (Manhattan),Level 18,Memory,0.0012,Max Stored Nodes,44
A* (Manhattan),Level 18,Branching,0.0012,Avg Branching,5.6
A* (Manhattan),Level 18,Branching,0.0012,Max Branching,8
A* (Manhattan),Level 18,SUCCESS,0.0012,Nodes Expanded,5
A* (Manhattan),Level 18,SUCCESS,0.0012,Solution Length,4
A* (Real Maze),Level 18,Memory,0.0013,Max Stored Nodes,44
A* (Real Maze),Level 18,Branching,0.0013,Avg Branching,5.6
A* (Real Maze),Level 18,Branching,0.0013,Max Branching,8
A* (Real Maze),Level 18,SUCCESS,0.0013,Nodes Expanded,5
A* (Real Maze),Level 18,SUCCESS,0.0013,Solution Length,4
A* (New Real Maze),Level 18,Memory,0.0012,Max Stored Nodes,44
A* (New Real Maze),Level 18,Branching,0.0012,Avg Branching,5.6
A* (New Real Maze),Level 18,Branching,0.0012,Max Branching,8
A* (New Real Maze),Level 18,SUCCESS,0.0012,Nodes Expanded,5
A* (New Real Maze),Level 18,SUCCESS,0.0012,Solution Length,4
A* (Hungarian),Level 18,Memory,0.0012,Max Stored Nodes,44
A* (Hungarian),Level 18,Branching,0.0012,Avg Branching,5.6
A* (Hungarian),Level 18,Branching,0.0012,Max Branching,8
A* (Hungarian),Level 18,SUCCESS,0.0012,Nodes Expanded,5
A* (Hungarian),Level 18,SUCCESS,0.0012,Solution Length,4
A* (Fast Distance),Level 18,Memory,0.0009,Max Stored Nodes,44
A* (Fast Distance),Level 18,Branching,0.0009,Avg Branching,5.6
A* (Fast Distance),Level 18,Branching,0.0009,Max Branching,8
A* (Fast Distance),Level 18,SUCCESS,0.0009,Nodes Expanded,5
A* (Fast Distance),Level 18,SUCCESS,0.0009,Solution Length,4
A* (Exact Distance),Level 18,Memory,0.0009,Max Stored Nodes,44
A* (Exact Distance),Level 18,Branching,0.0009,Avg Branching,5.6
A* (Exact Distance),Level 18,Branching,0.0009,Max Branching,8
A* (Exact Distance),Level 18,SUCCESS,0.0009,Nodes Expanded,5
A* (Exact Distance),Level 18,SUCCESS,0.0009,Solution Length,4
A* (Satisficing),Level 18,Memory,0.0009,Max Stored Nodes,44
A* (Satisficing),Level 18,Branching,0.0009,Avg Branching,5.6
A* (Satisficing),Level 18,Branching,0.0009,Max Branching,8
A* (Satisficing),Level 18,SUCCESS,0.0009,Nodes Expanded,5
A* (Satisficing),Level 18,SUCCESS,0.0009,Solution Length,4
Fast Downward,Level 18,Metrics,0.1629,Nodes Expanded,3111
Fast Downward,Level 18,Branching,0.1629,Avg Branching,3.74799099967856
Fast Downward,Level 18,SUCCESS,0.1629,Solution Length,14
LAMA First,Level 18,Metrics,0.5752,Nodes Expanded,2539
LAMA First,Level 18,Branching,0.5752,Avg Branching,3.78062229224104
LAMA First,Level 18,SUCCESS,0.5752,Solution Length,52
A* (Manhattan),Level 19,Memory,0.0043,Max Stored Nodes,155
A* (Manhattan),Level 19,Branching,0.0043,Avg Branching,9.0
A* (Manhattan),Level 19,Branching,0.0043,Max Branching,14
A* (Manhattan),Level 19,SUCCESS,0.0043,Nodes Expanded,10
A* (Manhattan),Level 19,SUCCESS,0.0043,Solution Length,9
A* (Real Maze),Level 19,Memory,0.0044,Max Stored Nodes,155
A* (Real Maze),Level 19,Branching,0.0044,Avg Branching,9.0
A* (Real Maze),Level 19,Branching,0.0044,Max Branching,14
A* (Real Maze),Level 19,SUCCESS,0.0044,Nodes Expanded,10
A* (Real Maze),Level 19,SUCCESS,0.0044,Solution Length,9
A* (New Real Maze),Level 19,Memory,0.0107,Max Stored Nodes,155
A* (New Real Maze),Level 19,Branching,0.0107,Avg Branching,9.0
A* (New Real Maze),Level 19,Branching,0.0107,Max Branching,14
A* (New Real Maze),Level 19,SUCCESS,0.0107,Nodes Expanded,10
A* (New Real Maze),Level 19,SUCCESS,0.0107,Solution Length,9
A* (Hungarian),Level 19,Memory,0.0157,Max Stored Nodes,155
A* (Hungarian),Level 19,Branching,0.0157,Avg Branching,9.0
A* (Hungarian),Level 19,Branching,0.0157,Max Branching,14
A* (Hungarian),Level 19,SUCCESS,0.0157,Nodes Expanded,10
A* (Hungarian),Level 19,SUCCESS,0.0157,Solution Length,9
A* (Fast Distance),Level 19,Memory,0.0116,Max Stored Nodes,155
A* (Fast Distance),Level 19,Branching,0.0116,Avg Branching,9.0
A* (Fast Distance),Level 19,Branching,0.0116,Max Branching,14
A* (Fast Distance),Level 19,SUCCESS,0.0116,Nodes Expanded,10
A* (Fast Distance),Level 19,SUCCESS,0.0116,Solution Length,9
A* (Exact Distance),Level 19,Memory,0.0123,Max Stored Nodes,155
A* (Exact Distance),Level 19,Branching,0.0123,Avg Branching,9.0
A* (Exact Distance),Level 19,Branching,0.0123,Max Branching,14
A* (Exact Distance),Level 19,SUCCESS,0.0123,Nodes Expanded,10
A* (Exact Distance),Level 19,SUCCESS,0.0123,Solution Length,9
A* (Satisficing),Level 19,Memory,0.0089,Max Stored Nodes,155
A* (Satisficing),Level 19,Branching,0.0089,Avg Branching,9.0
A* (Satisficing),Level 19,Branching,0.0089,Max Branching,14
A* (Satisficing),Level 19,SUCCESS,0.0089,Nodes Expanded,10
A* (Satisficing),Level 19,SUCCESS,0.0089,Solution Length,9
