Algorithm,Level,Status,Time (s),Metric Type,Metric Value
LAMA First,Level 1,Metrics,0.5258,Nodes Expanded,19
LAMA First,Level 1,Branching,0.5258,Avg Branching,2.9473684210526314
LAMA First,Level 1,SUCCESS,0.5258,Solution Length,14
A* (Manhattan),Level 2,Memory,0.0002,Max Stored Nodes,18
A* (Manhattan),Level 2,Branching,0.0002,Avg Branching,3.3333333333333335
A* (Manhattan),Level 2,Branching,0.0002,Max Branching,5
A* (Manhattan),Level 2,SUCCESS,0.0002,Nodes Expanded,3
A* (Manhattan),Level 2,SUCCESS,0.0002,Solution Length,2
A* (Real Maze),Level 2,Memory,0.0003,Max Stored Nodes,18
A* (Real Maze),Level 2,Branching,0.0003,Avg Branching,3.3333333333333335
A* (Real Maze),Level 2,Branching,0.0003,Max Branching,5
A* (Real Maze),Level 2,SUCCESS,0.0003,Nodes Expanded,3
A* (Real Maze),Level 2,SUCCESS,0.0003,Solution Length,2
A* (New Real Maze),Level 2,Memory,0.0003,Max Stored Nodes,18
A* (New Real Maze),Level 2,Branching,0.0003,Avg Branching,3.3333333333333335
A* (New Real Maze),Level 2,Branching,0.0003,Max Branching,5
A* (New Real Maze),Level 2,SUCCESS,0.0003,Nodes Expanded,3
A* (New Real Maze),Level 2,SUCCESS,0.0003,Solution Length,2
A* (Hungarian),Level 2,Memory,0.0003,Max Stored Nodes,18
A* (Hungarian),Level 2,Branching,0.0003,Avg Branching,3.3333333333333335
A* (Hungarian),Level 2,Branching,0.0003,Max Branching,5
A* (Hungarian),Level 2,SUCCESS,0.0003,Nodes Expanded,3
A* (Hungarian),Level 2,SUCCESS,0.0003,Solution Length,2
A* (Fast Distance),Level 2,Memory,0.0002,Max Stored Nodes,18
A* (Fast Distance),Level 2,Branching,0.0002,Avg Branching,3.3333333333333335
A* (Fast Distance),Level 2,Branching,0.0002,Max Branching,5
A* (Fast Distance),Level 2,SUCCESS,0.0002,Nodes Expanded,3
A* (Fast Distance),Level 2,SUCCESS,0.0002,Solution Length,2
A* (Exact Distance),Level 2,Memory,0.0002,Max Stored Nodes,18
A* (Exact Distance),Level 2,Branching,0.0002,Avg Branching,3.3333333333333335
A* (Exact Distance),Level 2,Branching,0.0002,Max Branching,5
A* (Exact Distance),Level 2,SUCCESS,0.0002,Nodes Expanded,3
A* (Exact Distance),Level 2,SUCCESS,0.0002,Solution Length,2
A* (Satisficing),Level 2,Memory,0.0003,Max Stored Nodes,18
A* (Satisficing),Level 2,Branching,0.0003,Avg Branching,3.3333333333333335
A* (Satisficing),Level 2,Branching,0.0003,Max Branching,5
A* (Satisficing),Level 2,SUCCESS,0.0003,Nodes Expanded,3
A* (Satisficing),Level 2,SUCCESS,0.0003,Solution Length,2
Fast Downward,Level 2,Metrics,0.1126,Nodes Expanded,13
Fast Downward,Level 2,Branching,0.1126,Avg Branching,3.230769230769231
Fast Downward,Level 2,SUCCESS,0.1126,Solution Length,9
LAMA First,Level 2,Metrics,0.5136,Nodes Expanded,15
LAMA First,Level 2,Branching,0.5136,Avg Branching,3.3333333333333335
LAMA First,Level 2,SUCCESS,0.5136,Solution Length,9
A* (Manhattan),Level 3,Memory,0.0004,Max Stored Nodes,39
A* (Manhattan),Level 3,Branching,0.0004,Avg Branching,5.25
A* (Manhattan),Level 3,Branching,0.0004,Max Branching,8
A* (Manhattan),Level 3,SUCCESS,0.0004,Nodes Expanded,4
A* (Manhattan),Level 3,SUCCESS,0.0004,Solution Length,3
A* (Real Maze),Level 3,Memory,0.0004,Max Stored Nodes,39
A* (Real Maze),Level 3,Branching,0.0004,Avg Branching,5.25
A* (Real Maze),Level 3,Branching,0.0004,Max Branching,8
A* (Real Maze),Level 3,SUCCESS,0.0004,Nodes Expanded,4
A* (Real Maze),Level 3,SUCCESS,0.0004,Solution Length,3
A* (New Real Maze),Level 3,Memory,0.0006,Max Stored Nodes,39
A* (New Real Maze),Level 3,Branching,0.0006,Avg Branching,5.25
A* (New Real Maze),Level 3,Branching,0.0006,Max Branching,8
A* (New Real Maze),Level 3,SUCCESS,0.0006,Nodes Expanded,4
A* (New Real Maze),Level 3,SUCCESS,0.0006,Solution Length,3
A* (Hungarian),Level 3,Memory,0.0006,Max Stored Nodes,39
A* (Hungarian),Level 3,Branching,0.0006,Avg Branching,5.25
A* (Hungarian),Level 3,Branching,0.0006,Max Branching,8
A* (Hungarian),Level 3,SUCCESS,0.0006,Nodes Expanded,4
A* (Hungarian),Level 3,SUCCESS,0.0006,Solution Length,3
A* (Fast Distance),Level 3,Memory,0.0005,Max Stored Nodes,39
A* (Fast Distance),Level 3,Branching,0.0005,Avg Branching,5.25
A* (Fast Distance),Level 3,Branching,0.0005,Max Branching,8
